Sample_ID,Diagnosis,Gene,Expression
12,ALL,Gene_818,0.221191
12,ALL,Gene_84,0.618033
12,ALL,Gene_850,0.975048
12,ALL,Gene_916,0.989552
12,ALL,Gene_969,0.257005
13,Healthy,Gene_149,0.12899
13,Healthy,Gene_187,0.703148
13,Healthy,Gene_244,0.927327
13,Healthy,Gene_285,0.291597
13,Healthy,Gene_354,0.327108
13,Healthy,Gene_366,0.15224
13,Healthy,Gene_367,0.831621
13,Healthy,Gene_482,0.855746
13,Healthy,Gene_521,0.0538
13,Healthy,Gene_588,0.764882
13,Healthy,Gene_607,0.606685
13,Healthy,Gene_646,0.410319
13,Healthy,Gene_650,0.917441
13,Healthy,Gene_781,0.680481
13,Healthy,Gene_816,0.100325
13,Healthy,Gene_818,0.961809
13,Healthy,Gene_84,0.210811
13,Healthy,Gene_850,0.515377
13,Healthy,Gene_916,0.498728
13,Healthy,Gene_969,0.624594
14,ALL,Gene_149,0.715815
14,ALL,Gene_187,0.234083
14,ALL,Gene_244,0.701794
14,ALL,Gene_285,0.557528
14,ALL,Gene_354,0.645518
14,ALL,Gene_366,0.621653
14,ALL,Gene_367,0.163784
14,ALL,Gene_482,0.007987
14,ALL,Gene_521,0.411279
14,ALL,Gene_588,0.168549
14,ALL,Gene_607,0.379773
14,ALL,Gene_646,0.612768
14,ALL,Gene_650,0.68206
14,ALL,Gene_781,0.996476
14,ALL,Gene_816,0.253803
14,ALL,Gene_818,0.488217
14,ALL,Gene_84,0.701903
14,ALL,Gene_850,0.142833
14,ALL,Gene_916,0.74621
14,ALL,Gene_969,0.762864
15,AML,Gene_149,0.140337
15,AML,Gene_187,0.458245
15,AML,Gene_244,0.432764
15,AML,Gene_285,0.449373
15,AML,Gene_354,0.351927
15,AML,Gene_366,0.463035
15,AML,Gene_367,0.990655
15,AML,Gene_482,0.563485
15,AML,Gene_521,0.786265
15,AML,Gene_588,0.179624
15,AML,Gene_607,0.78304
15,AML,Gene_646,0.3333
15,AML,Gene_650,0.546465
15,AML,Gene_781,0.896622
15,AML,Gene_816,0.443302
15,AML,Gene_818,0.362483
15,AML,Gene_84,0.214534
15,AML,Gene_850,0.397406
15,AML,Gene_916,0.11609
15,AML,Gene_969,0.411004
16,Healthy,Gene_149,0.938474
16,Healthy,Gene_187,0.422878
16,Healthy,Gene_244,0.954716
16,Healthy,Gene_285,0.536421
16,Healthy,Gene_354,0.920644
16,Healthy,Gene_366,0.009911
16,Healthy,Gene_367,0.862765
16,Healthy,Gene_482,0.21213
16,Healthy,Gene_521,0.00566
16,Healthy,Gene_588,0.395774
16,Healthy,Gene_607,0.788096
16,Healthy,Gene_646,0.940137
16,Healthy,Gene_650,0.143254
16,Healthy,Gene_781,0.098385
16,Healthy,Gene_816,0.680273
16,Healthy,Gene_818,0.935693
16,Healthy,Gene_84,0.118879
16,Healthy,Gene_850,0.442439
16,Healthy,Gene_916,0.406825
16,Healthy,Gene_969,0.380775
17,Healthy,Gene_149,0.354403
17,Healthy,Gene_187,0.310977
17,Healthy,Gene_244,0.199444
17,Healthy,Gene_285,0.180486
17,Healthy,Gene_354,0.961636
17,Healthy,Gene_366,0.390349
17,Healthy,Gene_367,0.655159
17,Healthy,Gene_482,0.79234
17,Healthy,Gene_521,0.177197
17,Healthy,Gene_588,0.269889
17,Healthy,Gene_607,0.604794
17,Healthy,Gene_646,0.977644
17,Healthy,Gene_650,0.325728
17,Healthy,Gene_781,0.388362
17,Healthy,Gene_816,0.011143
17,Healthy,Gene_818,0.061673
17,Healthy,Gene_84,0.990924
17,Healthy,Gene_850,0.373823
17,Healthy,Gene_916,0.487081
17,Healthy,Gene_969,0.74447
18,ALL,Gene_149,0.37101
18,ALL,Gene_187,0.40832
18,ALL,Gene_244,0.224511
18,ALL,Gene_285,0.323957
18,ALL,Gene_354,0.154272
18,ALL,Gene_366,0.96788
18,ALL,Gene_367,0.727894
18,ALL,Gene_482,0.894992
18,ALL,Gene_521,0.561421
18,ALL,Gene_588,0.558489
18,ALL,Gene_607,0.074547
18,ALL,Gene_646,0.855347
18,ALL,Gene_650,0.995289
18,ALL,Gene_781,0.07738
18,ALL,Gene_816,0.122316
18,ALL,Gene_818,0.627363
18,ALL,Gene_84,0.904616
18,ALL,Gene_850,0.843
18,ALL,Gene_916,0.208996
18,ALL,Gene_969,0.429577
19,ALL,Gene_149,0.629469
19,ALL,Gene_187,0.063456
19,ALL,Gene_244,0.095853
19,ALL,Gene_285,0.856974
19,ALL,Gene_354,0.929033
19,ALL,Gene_366,0.168563
19,ALL,Gene_367,0.942985
19,ALL,Gene_482,0.993777
19,ALL,Gene_521,0.070256
19,ALL,Gene_588,0.668172
19,ALL,Gene_607,0.838502
19,ALL,Gene_646,0.489728
19,ALL,Gene_650,0.691898
19,ALL,Gene_781,0.472984
19,ALL,Gene_816,0.084602
19,ALL,Gene_818,0.125474
19,ALL,Gene_84,0.91193
19,ALL,Gene_850,0.685435
19,ALL,Gene_916,0.490335
19,ALL,Gene_969,0.536392
20,Healthy,Gene_149,0.172584
20,Healthy,Gene_187,0.813102
20,Healthy,Gene_244,0.62888
20,Healthy,Gene_285,0.713401
20,Healthy,Gene_354,0.398583
20,Healthy,Gene_366,0.379944
20,Healthy,Gene_367,0.959441
20,Healthy,Gene_482,0.123954
20,Healthy,Gene_521,0.895991
20,Healthy,Gene_588,0.903578
20,Healthy,Gene_607,0.901253
20,Healthy,Gene_646,0.952526
20,Healthy,Gene_650,0.146125
20,Healthy,Gene_781,0.092403
20,Healthy,Gene_816,0.316206
20,Healthy,Gene_818,0.930677
20,Healthy,Gene_84,0.828973
20,Healthy,Gene_850,0.30343
20,Healthy,Gene_916,0.842396
20,Healthy,Gene_969,0.624119
21,ALL,Gene_149,0.493541
21,ALL,Gene_187,0.192003
21,ALL,Gene_244,0.779
21,ALL,Gene_285,0.218854
21,ALL,Gene_354,0.602904
21,ALL,Gene_366,0.761331
21,ALL,Gene_367,0.93709
21,ALL,Gene_482,0.088002
21,ALL,Gene_521,0.289905
21,ALL,Gene_588,0.37364
21,ALL,Gene_607,0.015858
21,ALL,Gene_646,0.838436
21,ALL,Gene_650,0.695898
21,ALL,Gene_781,0.894878
21,ALL,Gene_816,0.69031
21,ALL,Gene_818,0.301439
21,ALL,Gene_84,0.796243
21,ALL,Gene_850,0.221236
21,ALL,Gene_916,0.613896
21,ALL,Gene_969,0.627068
22,Healthy,Gene_149,0.974491
22,Healthy,Gene_187,0.507709
22,Healthy,Gene_244,0.351635
22,Healthy,Gene_285,0.295436
22,Healthy,Gene_354,0.211288
22,Healthy,Gene_366,0.336995
22,Healthy,Gene_367,0.54834
22,Healthy,Gene_482,0.198453
22,Healthy,Gene_521,0.030777
22,Healthy,Gene_588,0.648109
22,Healthy,Gene_607,0.491977
22,Healthy,Gene_646,0.985054
22,Healthy,Gene_650,0.72135
22,Healthy,Gene_781,0.354571
22,Healthy,Gene_816,0.569125
22,Healthy,Gene_818,0.595001
22,Healthy,Gene_84,0.924968
22,Healthy,Gene_850,0.528267
22,Healthy,Gene_916,0.437825
22,Healthy,Gene_969,0.918102
23,ALL,Gene_149,0.775333
23,ALL,Gene_187,0.406467
23,ALL,Gene_244,0.708855
23,ALL,Gene_285,0.823774
23,ALL,Gene_354,0.911168
23,ALL,Gene_366,0.466192
23,ALL,Gene_367,0.605925
23,ALL,Gene_482,0.395235
23,ALL,Gene_521,0.456472
23,ALL,Gene_588,0.408618
23,ALL,Gene_607,0.832259
23,ALL,Gene_646,0.018053
23,ALL,Gene_650,0.434875
23,ALL,Gene_781,0.328358
23,ALL,Gene_816,0.653991
23,ALL,Gene_818,0.14299
23,ALL,Gene_84,0.32545
23,ALL,Gene_850,0.557238
23,ALL,Gene_916,0.601648
23,ALL,Gene_969,0.190067
24,Healthy,Gene_149,0.975766
24,Healthy,Gene_187,0.849515
24,Healthy,Gene_244,0.967319
24,Healthy,Gene_285,0.901961
24,Healthy,Gene_354,0.286358
24,Healthy,Gene_366,0.567211
24,Healthy,Gene_367,0.236546
24,Healthy,Gene_482,0.587647
24,Healthy,Gene_521,0.473223
24,Healthy,Gene_588,0.930924
24,Healthy,Gene_607,0.958069
24,Healthy,Gene_646,0.6702
24,Healthy,Gene_650,0.286262
24,Healthy,Gene_781,0.686656
24,Healthy,Gene_816,0.947726
24,Healthy,Gene_818,0.299929
24,Healthy,Gene_84,0.376579
24,Healthy,Gene_850,0.327302
24,Healthy,Gene_916,0.174758
24,Healthy,Gene_969,0.676136
25,ALL,Gene_149,0.12864
25,ALL,Gene_187,0.046209
25,ALL,Gene_244,0.23212
25,ALL,Gene_285,0.402183
25,ALL,Gene_354,0.156639
25,ALL,Gene_366,0.039604
25,ALL,Gene_367,0.068244
25,ALL,Gene_482,0.231464
25,ALL,Gene_521,0.807007
25,ALL,Gene_588,0.04355
25,ALL,Gene_607,0.45784
25,ALL,Gene_646,0.844681
25,ALL,Gene_650,0.112954
25,ALL,Gene_781,0.630136
25,ALL,Gene_816,0.854848
25,ALL,Gene_818,0.27257
25,ALL,Gene_84,0.394918
25,ALL,Gene_850,0.278542
25,ALL,Gene_916,0.492961
25,ALL,Gene_969,0.375708
26,ALL,Gene_149,0.153296
26,ALL,Gene_187,0.676045
26,ALL,Gene_244,0.409808
26,ALL,Gene_285,0.005521
26,ALL,Gene_354,0.829879
26,ALL,Gene_366,0.735661
26,ALL,Gene_367,0.986579
26,ALL,Gene_482,0.089652
26,ALL,Gene_521,0.525307
26,ALL,Gene_588,0.314521
26,ALL,Gene_607,0.925543
26,ALL,Gene_646,0.90401
26,ALL,Gene_650,0.481872
26,ALL,Gene_781,0.695963
26,ALL,Gene_816,0.394009
26,ALL,Gene_818,0.147268
26,ALL,Gene_84,0.754676
26,ALL,Gene_850,0.29565
26,ALL,Gene_916,0.891136
26,ALL,Gene_969,0.3777
27,AML,Gene_149,0.322133
27,AML,Gene_187,0.571649
27,AML,Gene_244,0.771034
27,AML,Gene_285,0.280311
27,AML,Gene_354,0.63292
27,AML,Gene_366,0.827808
27,AML,Gene_367,0.850878
27,AML,Gene_482,0.692519
27,AML,Gene_521,0.026526
27,AML,Gene_588,0.820131
27,AML,Gene_607,0.589072
27,AML,Gene_646,0.264802
27,AML,Gene_650,0.730878
27,AML,Gene_781,0.598941
27,AML,Gene_816,0.025636
27,AML,Gene_818,0.078216
27,AML,Gene_84,0.892168
27,AML,Gene_850,0.069949
27,AML,Gene_916,0.785348
27,AML,Gene_969,0.198254
28,ALL,Gene_149,0.883799
28,ALL,Gene_187,0.27614
28,ALL,Gene_244,0.964361
28,ALL,Gene_285,0.038832
28,ALL,Gene_354,0.736059
28,ALL,Gene_366,0.728297
28,ALL,Gene_367,0.528053
28,ALL,Gene_482,0.040989
28,ALL,Gene_521,0.406741
28,ALL,Gene_588,0.740693
28,ALL,Gene_607,0.555982
28,ALL,Gene_646,0.256331
28,ALL,Gene_650,0.740303
28,ALL,Gene_781,0.649266
28,ALL,Gene_816,0.731148
28,ALL,Gene_818,0.054984
28,ALL,Gene_84,0.507145
28,ALL,Gene_850,0.711769
28,ALL,Gene_916,0.736065
28,ALL,Gene_969,0.654759
29,Healthy,Gene_149,0.027137
29,Healthy,Gene_187,0.781231
29,Healthy,Gene_244,0.334709
29,Healthy,Gene_285,0.09115
29,Healthy,Gene_354,0.20292
29,Healthy,Gene_366,0.599359
29,Healthy,Gene_367,0.508147
29,Healthy,Gene_482,0.968257
29,Healthy,Gene_521,0.669713
29,Healthy,Gene_588,0.465573
29,Healthy,Gene_607,0.242115
29,Healthy,Gene_646,0.426798
29,Healthy,Gene_650,0.078494
29,Healthy,Gene_781,0.754195
29,Healthy,Gene_816,0.747122
29,Healthy,Gene_818,0.639856
29,Healthy,Gene_84,0.653261
29,Healthy,Gene_850,0.661013
29,Healthy,Gene_916,0.460377
29,Healthy,Gene_969,0.311759
30,AML,Gene_149,0.522204
30,AML,Gene_187,0.470715
30,AML,Gene_244,0.59352
30,AML,Gene_285,0.181199
30,AML,Gene_354,0.623486
30,AML,Gene_366,0.066988
30,AML,Gene_367,0.043357
30,AML,Gene_482,0.215166
30,AML,Gene_521,0.579633
30,AML,Gene_588,0.304511
30,AML,Gene_607,0.41477
30,AML,Gene_646,0.312138
30,AML,Gene_650,0.946549
30,AML,Gene_781,0.615616
30,AML,Gene_816,0.682481
30,AML,Gene_818,0.382064
30,AML,Gene_84,0.333839
30,AML,Gene_850,0.260196
30,AML,Gene_916,0.342164
30,AML,Gene_969,0.10015
31,AML,Gene_149,0.52334
31,AML,Gene_187,0.05755
31,AML,Gene_244,0.959783
31,AML,Gene_285,0.818889
31,AML,Gene_354,0.678007
31,AML,Gene_366,0.106113
31,AML,Gene_367,0.197275
31,AML,Gene_482,0.071793
31,AML,Gene_521,0.076181
31,AML,Gene_588,0.668851
31,AML,Gene_607,0.838989
31,AML,Gene_646,0.216957
31,AML,Gene_650,0.074533
31,AML,Gene_781,0.179962
31,AML,Gene_816,0.155594
31,AML,Gene_818,0.725204
31,AML,Gene_84,0.438981
31,AML,Gene_850,0.401989
31,AML,Gene_916,0.057157
31,AML,Gene_969,0.144258
32,AML,Gene_149,0.353912
32,AML,Gene_187,0.836421
32,AML,Gene_244,0.982184
32,AML,Gene_285,0.704983
32,AML,Gene_354,0.696311
32,AML,Gene_366,0.964479
32,AML,Gene_367,0.984373
32,AML,Gene_482,0.952003
32,AML,Gene_521,0.705994
32,AML,Gene_588,0.865966
32,AML,Gene_607,0.380489
32,AML,Gene_646,0.192561
32,AML,Gene_650,0.669668
32,AML,Gene_781,0.736814
32,AML,Gene_816,0.182574
32,AML,Gene_818,0.970631
32,AML,Gene_84,0.547466
32,AML,Gene_850,0.661974
32,AML,Gene_916,0.178811
32,AML,Gene_969,0.89152
33,Healthy,Gene_149,0.216644
33,Healthy,Gene_187,0.462488
33,Healthy,Gene_244,0.959112
33,Healthy,Gene_285,0.007091
33,Healthy,Gene_354,0.166244
33,Healthy,Gene_366,0.238722
33,Healthy,Gene_367,0.494152
33,Healthy,Gene_482,0.925183
33,Healthy,Gene_521,0.38982
33,Healthy,Gene_588,0.934237
33,Healthy,Gene_607,0.709523
33,Healthy,Gene_646,0.689458
33,Healthy,Gene_650,0.245202
33,Healthy,Gene_781,0.464185
33,Healthy,Gene_816,0.285005
33,Healthy,Gene_818,0.155611
33,Healthy,Gene_84,0.3798
33,Healthy,Gene_850,0.032699
33,Healthy,Gene_916,0.244141
33,Healthy,Gene_969,0.909225
34,ALL,Gene_149,0.289766
34,ALL,Gene_187,0.579778
34,ALL,Gene_244,0.096183
34,ALL,Gene_285,0.029936
34,ALL,Gene_354,0.069045
34,ALL,Gene_366,0.02773
34,ALL,Gene_367,0.077036
34,ALL,Gene_482,0.040601
34,ALL,Gene_521,0.692407
34,ALL,Gene_588,0.953132
34,ALL,Gene_607,0.622774
34,ALL,Gene_646,0.547606
34,ALL,Gene_650,0.239419
34,ALL,Gene_781,0.983018
34,ALL,Gene_816,0.532073
34,ALL,Gene_818,0.565957
34,ALL,Gene_84,0.117583
34,ALL,Gene_850,0.969021
34,ALL,Gene_916,0.696814
34,ALL,Gene_969,0.398743
35,ALL,Gene_149,0.964064
35,ALL,Gene_187,0.470485
35,ALL,Gene_244,0.285203
35,ALL,Gene_285,0.842389
35,ALL,Gene_354,0.001185
35,ALL,Gene_366,0.417351
35,ALL,Gene_367,0.259378
35,ALL,Gene_482,0.222781
35,ALL,Gene_521,0.128414
35,ALL,Gene_588,0.272889
35,ALL,Gene_607,0.502754
35,ALL,Gene_646,0.214682
35,ALL,Gene_650,0.098288
35,ALL,Gene_781,0.387682
35,ALL,Gene_816,0.388628
35,ALL,Gene_818,0.489546
35,ALL,Gene_84,0.885404
35,ALL,Gene_850,0.7499
35,ALL,Gene_916,0.29232
35,ALL,Gene_969,0.759833
36,ALL,Gene_149,0.340164
36,ALL,Gene_187,0.142847
36,ALL,Gene_244,0.657829
36,ALL,Gene_285,0.860861
36,ALL,Gene_354,0.787273
36,ALL,Gene_366,0.106307
36,ALL,Gene_367,0.147338
36,ALL,Gene_482,0.273113
36,ALL,Gene_521,0.407286
36,ALL,Gene_588,0.458751
36,ALL,Gene_607,0.172713
36,ALL,Gene_646,0.270366
36,ALL,Gene_650,0.29537
36,ALL,Gene_781,0.696033
36,ALL,Gene_816,0.819664
36,ALL,Gene_818,0.886277
36,ALL,Gene_84,0.773231
36,ALL,Gene_850,0.319924
36,ALL,Gene_916,0.431059
36,ALL,Gene_969,0.889791
37,AML,Gene_149,0.95498
37,AML,Gene_187,0.978881
37,AML,Gene_244,0.558157
37,AML,Gene_285,0.668804
37,AML,Gene_354,0.741549
37,AML,Gene_366,0.897746
37,AML,Gene_367,0.421763
37,AML,Gene_482,0.321555
37,AML,Gene_521,0.856334
37,AML,Gene_588,0.186396
37,AML,Gene_607,0.782491
37,AML,Gene_646,0.033291
37,AML,Gene_650,0.0281
37,AML,Gene_781,0.1344
37,AML,Gene_816,0.244149
37,AML,Gene_818,0.249705
37,AML,Gene_84,0.097145
37,AML,Gene_850,0.666107
37,AML,Gene_916,0.29919
37,AML,Gene_969,0.67365
38,AML,Gene_149,0.875226
38,AML,Gene_187,0.766387
38,AML,Gene_244,0.745156
38,AML,Gene_285,0.671409
38,AML,Gene_354,0.855528
38,AML,Gene_366,0.000647
38,AML,Gene_367,0.940454
38,AML,Gene_482,0.753198
38,AML,Gene_521,0.236738
38,AML,Gene_588,0.765452
38,AML,Gene_607,0.796192
38,AML,Gene_646,0.50517
38,AML,Gene_650,0.173438
38,AML,Gene_781,0.083498
38,AML,Gene_816,0.20564
38,AML,Gene_818,0.013457
38,AML,Gene_84,0.747072
38,AML,Gene_850,0.597416
38,AML,Gene_916,0.541712
38,AML,Gene_969,0.508694
39,AML,Gene_149,0.534366
39,AML,Gene_187,0.157241
39,AML,Gene_244,0.183209
39,AML,Gene_285,0.835903
39,AML,Gene_354,0.359207
39,AML,Gene_366,0.436077
39,AML,Gene_367,0.930018
39,AML,Gene_482,0.23062
39,AML,Gene_521,0.857889
39,AML,Gene_588,0.292814
39,AML,Gene_607,0.750886
39,AML,Gene_646,0.759511
39,AML,Gene_650,0.569966
39,AML,Gene_781,0.228242
39,AML,Gene_816,0.857977
39,AML,Gene_818,0.858457
39,AML,Gene_84,0.632196
39,AML,Gene_850,0.172547
39,AML,Gene_916,0.678436
39,AML,Gene_969,0.005582
40,Healthy,Gene_149,0.266645
40,Healthy,Gene_187,0.290145
40,Healthy,Gene_244,0.753197
40,Healthy,Gene_285,0.422175
40,Healthy,Gene_354,0.85047
40,Healthy,Gene_366,0.59124
40,Healthy,Gene_367,0.912211
40,Healthy,Gene_482,0.470541
40,Healthy,Gene_521,0.819005
40,Healthy,Gene_588,0.714839
40,Healthy,Gene_607,0.421948
40,Healthy,Gene_646,0.679993
40,Healthy,Gene_650,0.37336
40,Healthy,Gene_781,0.186856
40,Healthy,Gene_816,0.876534
40,Healthy,Gene_818,0.640064
40,Healthy,Gene_84,0.116267
40,Healthy,Gene_850,0.233311
40,Healthy,Gene_916,0.033177
40,Healthy,Gene_969,0.189869
41,AML,Gene_149,0.964496
41,AML,Gene_187,0.582549
41,AML,Gene_244,0.896641
41,AML,Gene_285,0.567453
41,AML,Gene_354,0.736603
41,AML,Gene_366,0.761183
41,AML,Gene_367,0.521381
41,AML,Gene_482,0.574506
41,AML,Gene_521,0.330462
41,AML,Gene_588,0.237573
41,AML,Gene_607,0.54308
41,AML,Gene_646,0.646492
41,AML,Gene_650,0.707116
41,AML,Gene_781,0.412109
41,AML,Gene_816,0.486744
41,AML,Gene_818,0.785806
41,AML,Gene_84,0.664917
41,AML,Gene_850,0.652959
41,AML,Gene_916,0.671448
41,AML,Gene_969,0.927788
42,ALL,Gene_149,0.617994
42,ALL,Gene_187,0.048719
42,ALL,Gene_244,0.971848
42,ALL,Gene_285,0.929425
